Code	Name	Description 2	Price	MAP price	Default set qts	Width	Depth	Height	Weight	Volume	Manufacturer	Category Type	Stock Status	New Arrivals	Parent Category	Category	Refine Categories	Image 1	Image 2	Image 3	Image 4	Image 5	Image 6	Image 7	Image 8	Image 9	Image 10	Image 11	Image 12	Image 13	Image 14	Qty	No of Boxes	(Box 1) Markings	(Box 1) Depth	(Box 1) Width	(Box 1) Height	(Box 1) Weight	(Box 2) Markings	(Box 2) Depth	(Box 2) Width	(Box 2) Height	(Box 2) Weight	(Box 3) Markings	(Box 3) Depth	(Box 3) Width	(Box 3) Height	(Box 3) Weight	(Box 4) Markings	(Box 4) Depth	(Box 4) Width	(Box 4) Height	(Box 4) Weight	(Box 5) Markings	(Box 5) Depth	(Box 5) Width	(Box 5) Height	(Box 5) Weight	(Box 6) Markings	(Box 6) Depth	(Box 6) Width	(Box 6) Height	(Box 6) Weight	(Box 7) Markings	(Box 7) Depth	(Box 7) Width	(Box 7) Height	(Box 7) Weight	(Box 8) Markings	(Box 8) Depth	(Box 8) Width	(Box 8) Height	(Box 8) Weight	(Box 9) Markings	(Box 9) Depth	(Box 9) Width	(Box 9) Height	(Box 9) Weight	(Box 10) Markings	(Box 10) Depth	(Box 10) Width	(Box 10) Height	(Box 10) Weight	(Box 11) Markings	(Box 11) Depth	(Box 11) Width	(Box 11) Height	(Box 11) Weight	(Box 12) Markings	(Box 12) Depth	(Box 12) Width	(Box 12) Height	(Box 12) Weight	(Box 13) Markings	(Box 13) Depth	(Box 13) Width	(Box 13) Height	(Box 13) Weight	(Box 14) Markings	(Box 14) Depth	(Box 14) Width	(Box 14) Height	(Box 14) Weight	(Box 15) Markings	(Box 15) Depth	(Box 15) Width	(Box 15) Height	(Box 15) Weight	sku	Parent  Sku	Color	Material	Finish
	Granada Bedroom SET	Modern high-end bedroom composition in white high gloss finish will add your house beautiful and clean look. Bed available in King and Queen Size with Storage or without. Chest and Double Dresser Available. All drawers are equipped with self closing mechanisms. *2 Lights and 1 switch on the headboard  Finishes: WHITE HIGH GLOSS / ARENA HIGH GLOSS /  FABRIC ELFOS BLANCO Made in Spain  Recommended mattress height is no more than 12 "  <iframe width="560" height="315" src="https://www.youtube.com/embed/6Yx4ykzx4Xg" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/ZTZimP5on1g" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/iUX-CtzJ760" frameborder="0" allowfullscreen></iframe>	2386	4175.5							Fenicia  Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Beds with Storage,Wardrobes,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada-Bedroom.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_21.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_22.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada-Bedroom_side_1.gif																																																																																			p6832		White, Grey/Silver	Wood veneer, MDF	High Gloss Lacquer
WFRAMEKINGS	Wooden Slat Frame, King Size folded in 2 parts with 6 legs 193x200		90	157.5	0	80.31	82.6	12.6	25	0.18																						0	2	Wooden Slat Frame	8	83	8	25	2	2	59	10	0																																																																		i11288	p6832			
GRANADAPLATFORMK.S	Granada Platform K.S. White	Needs Wframe K.S	389	680.75	0		86		67																							0	2	Rails and Foot Board	9	83	8	0	Metal Support	57	13	3	0																																																																		i11287	p6832			
GRANADAH/BK.S	Granada H/B  K.S.w/ lights		997	1744.75	0	128	2.83	41.34	136.4	0.27																						0	6	Headboard	5	83	49	0	Under Headboard	4	82	20	0	Wings	10	24	49	0		0	0	0	0		0	0	0	0		0	0	0	0																																														i11286	p6832			
WFRAMEQUEENS	Wooden Slat Frame, Queens Size, folded in 2 parts, with 6 legs, 150x200		65	113.75	1	63.78	82.6	12.6	20																							1	2	Wooden Slat Frame	8	67	8	25	2	2	59	10	0																																																																		i11292	p6832			
GRANADASTORAGEPLQ.S	Granada Platform w/Storage   Q.S  White		656	1148	0	63	86	11	209																							0	5	Bottom for Storage Q.S	83	30	1	0	Storage Hardware Q.S	82	15	3	0	Storage Foot Board Q.S	13	64	5	0	Storage Rails Q.S	13	84	5	0	Wooden Frame	80	60	2	35																																																			i11293	p6832			
GRANADAPLATFORMQ.SW	Granada Platform Q.S White	Need Wframe Q.S.	315	551.25	1	60	79	11	52.8																							1	2		9	83	8	0		57	13	3	0																																																																		i11291	p6832			
GRANADAN/S	Nightstand Left		147	257.25	1	22.83	19.09	7.8	14	0.1																						1	1	Nightstand	11	26	20	44																																																																							i10909	p6832			
GRANADADRESSERWHITE	Granada 120 Dresser		620	1085	1	46.46	17.09	36.61	74	0.64																						1	1	Single Dresser	38	49	20	173																																																																							i10910	p6832			
GRANADAMIRROR	Granada Mirror		147	257.25	1	39.37	0.79	39.37	25	0.056																						1	1	Mirror	2	41	41	52																																																																							i10911	p6832			
GRANADACHEST	Granada Chest		490	857.5	0	22.83	17.09	46.06	51	0.42																						0	1	Chest	49	26	19	124																																																																							i10912	p6832			
GRANADADRESSER150	Granada 150 Dresser		810	1417.5	0	58.27	16.34	32.91	80	0.7																						0	1	Double Dresser	36	61	20	80																																																																							i10913	p6832			
GRANADAMIRRORBIG	Standing Mirrror		350	612.5	0	30	1.57	76.46	30	0.16																						0	1	Standing Mirror	4	79	32	30																																																																							i10914	p6832			
GRANADAH/BQ.S	Granada H/B  Q.S.w/ lights		945	1653.75	1	111	2.83	41.34	80.8	0.24																						1	6	1	5	66	26	0	2	4	65	20	0		26	26	12	36		12	85	4	35		12	67	3	17		76	30	1	20																																														i11290	p6832			
GRANADAN/SRIGHT	Nightstand Right		147	257.25	1	22.83	17.09	7.8	14	0.1																						1	1	Nightstand	11	26	20	44																																																																							i11480	p6832			
GRANADASTORAGEPLK.S	Granada Platform w/Storage K.S		1061	1856.75	0	79.41	83.93	13.78	253	0.352																						0	5	2 Side Rails	4	83	16	0	Hardware	4	29	4	0	Headboard Support + Middle + Footboard	9	83	16	0	Bottom	1	83	39	0	Slat	2	77	81	0																																																			i11289	p6832			
GRANADATVPANEL	Granada TV Panel		620	1085	0	55.12	16.93	53.74	36	0.5																						0	2	1	12	57	25	0		0	0	0	0																																																																		i11481	p6832			
GRANADAWALLUNIT	Granada Wall unit White		1449	2535.75	0	95	17	73	370																							0	10	Box 1/10	5	57	44	0	Box 2/10	12	57	24	0	Box 3/10	1	54	38	0	Box 4/10	1	92	21	0	Box 5/10	3	91	21	0	Box 6/10	2	17	16	0	Box 7/10	2	17	16	0	Box 8/10	4	19	21	0	Box 9/10	1	32	17	0	Box 10/10	4	12	8	0																										i11482	p6832			
MIRRORSUPPORT	Mirror Supports for Dresser	"Optional"	10	17.5	0	2	2	60	5																							0	1	Box 1	2	2	60	5																																																																							i21322	p6832			
	Mangano Bedroom SET	This Set Collection has a modern feel and look. The finish is a high gloss white and grey tone. The Collection brings the modern crisp look and feel with simple chrome finish pulls and legs. The collection gives the room a rich, clean look and an open airy feel. The Bedroom Furniture Set with Sleigh Bed consists of Queen Size Bed, Nightstand, Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.   Made in Italy Box Spring or mattress over 12 inches is required  Dresser and Nightstands base color: White	1265	2213.75							European Collection	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_8.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano_side_6.gif																																																																														p7212		White, Grey/Silver	Eco Leather, MDF	High Gloss Lacquer
MANGANOBEDQ.S	Mangano QS Bed	Needs Wooden Slats Frame	410	717.5	1	64	83	57	190																							1	4	BOX 1	60	68	5	120	BOX 2	16	65	3	31	BOX 3	3	72	6	17	BOX 4	83	11	3	29																																																								i11553	p7212			
MANGANOBEDKS	Mangano KS Bed	Needs Wooden Slats Frame	490	857.5	0	80	83	57	220																							0	4	BOX 1	60	87	5	150	BOX 2	16	83	3	31	BOX 3	3	88	6	17	BOX 4	3	83	11	29																																																								i11554	p7212			
MANGANON/S	Mangano Nightstand		150	262.5	2	26	19	24	71																							2	1	BOX 1	20	28	22	73																																																																							i11555	p7212			
MANGANODRESSER	Mangano 3 Drawer Dresser		390	682.5	1	65	19	34	196																							1	1	BOX 1	20	67	34	200																																																																							i11556	p7212			
MANGANOMIRROR	Mangano Mirror		100	175	1	42	1	40	60																							1	1	BOX 1	3	43	47	62																																																																							i11557	p7212			
MANGANOCHEST	Mangano Chest		320	560	0	36	19	54	154																							0	1	BOX 1	20	38	52	156																																																																							i11558	p7212			
WFRAMEQUEENS	QS Wooden Slats Frame		65	113.75	1	60	79	11	20																							1	1	BOX 1	80	60	3	20																																																																							i11687	p7212			
WFRAMEKINGS	KS Wooden Slats Frame		90	157.5	0	38*2	79	11	30																							0	1	BOX 1	80	38	3	30																																																																							i11688	p7212			
	Platinum Legno Bedroom SET	PLATINUM bedroom furniture set in New Silver Birch finish. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Wood diamond shaped headboard with LED light insert. Optional storage kit with lift mechanism.  **NEW MIRROR DESIGN LIKE ON THE MAIN PICTURE  Finish : High gloss lacquered finish :  High gloss polyester lacquer with anti- yellowing treatment with UV (ultra violet) drying process.  	1839	3218.25							Camelgroup Italy	BEDROOMS	stock	FALSE	Bedroom  Furniture	Beds with Storage	Bedroom,Bedgroups,Beds with Storage,Wardrobes,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Legno-Bedroom.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Modern-Collection-Italy_Platinum-Silver-Birch_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Modern-Collection-Italy_Platinum-Silver-Birch_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Modern-Collection-Italy_Platinum-Silver-Birch_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Modern-Collection-Italy_Platinum-Silver-Birch_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Modern-Collection-Italy_Platinum-Silver-Birch_side_8.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Modern-Collection-Italy_Platinum-Silver-Birch_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Modern-Collection-Italy_Platinum-Silver-Birch_side_10.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Legno-Bed_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Legno-Bed_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Legno-Bed_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Legno-Bed_side_2.jpg																																																																																p7784		Brown/Wenge/Walnut, Grey/Silver	Wood veneer, MDF	High Gloss Lacquer
WFRAMEQSCAMELBENT	Wooden Frame QS Camel Bent/leg	**<b>**PREFERRED**</b> Made in Italy	115	201.25	0	60	79	11	30																							0	1	1	2	61	80	0																																																																							i22207	p7784			
PLATINUMSDRESSER	Platinum  Single Dresser / AL 136CMS.02PL/ Silver Birch		358	626.5	0	54	20	30	138																							0	1		30	55	20	148																																																																							i14492	p7784			
PLATINUMBEDKSLEGNO	Platinum "Legno " King Size Bed 	<b>**FRAME NOT INCLUDED**</b>	952	1666	0	83	85	46	214																							0	4		4	70	46	105		5	81	12	70		4	74	12	18		76	40	1	25																																																								i17476	p7784			
EXCLAMBRASTORAGEQS	Ambra Storage QS Kit	Ambra Storage QS Kit /co148let.07av01+co000ret.07o01+co000ret.00n03/ ( PLATINUM, ONDA, AMBRA) Ivory floor panels	332	581	0	60	80	2	50																							0	3	Wooden Frame	80	60	2	35	Floor Panels	80	30	1	5	Mechanism	5	20	2	10																																																													i26943	p7784			
PLATINUM4DOORWD	Platinum 4 Door W/D		1028	1799	0	74	24	90	355																							0	6	Box1	2	24	93	0	Box 2	2	21	92	0	Box 3	2	22	36	0	Box 4	5	25	38	0	Box 5	1	36	86	0	Box 6	1	42	3	0																																														i22926	p7784			
PLATINUMBEDQSLEGNO	Platinum "Legno" Queen Size Bed / AL 136.LET.36P /	<b>**FRAME NOT INCLUDED**</b>	791	1384.25	1	70/64	85	46	200																							1	4		4	70	46	100		5	81	12	70		4	66	12	15		76	30	1	20																																																								i14496	p7784			
PLATINUMCHEST	Platinum 5 Drawer Chest / Silver Birch /136SET.02PL/		358	626.5	0	30	17	46	119																							0	1	Chest	32	19	47	129																																																																							i15131	p7784			
PLATINUMN/S	Platinum Night Stand "Maxi" /AL136CMN.03PL/ Silver Birch		184	322	2	30	17	20	62																							2	1	Nightstand	19	32	22	68																																																																							i16670	p7784			
PLATINUMDRESSER	Platinum Double Dresser Silver Birch / AL136CMD.02PL/		488	854	1	68	20	30	182																							1	1	Double Dresser	22	32	70	192																																																																							i17478	p7784			
PLATINUMMIRROR	Platinum Mirror Silver Birch / AL136SPE.02PL/		127	222.25	1	48	1	36	44																							1	1		36	48	1	48																																																																							i17477	p7784			
WFRAMEKSCAMELBENT	Wooden Frame KS Camel Bent/leg	**<b>**PREFERRED**</b> Made in Italy	155	271.25	0	76	79	11	25																							0	2	1	2	78	80	0	2	2	39	80	0																																																																		i18054	p7784			
WFRAMEKINGS	Wooden Slats Frame King Size, folded in 2 parts with 6 legs 193x202		90	157.5	0	76	79	11	30																							0	1	1	2	39	80	0																																																																							i17663	p7784			
WFRAMEQUEENS	Wooden Slats Frame, Queens Size, folded in 2 parts, with 6 legs, 151x202		65	113.75	1	60	79	11	20																							1	1	1	2	30	80	0																																																																							i17664	p7784			
EXCLAMBRASTORAGEKS	Ambra Storage KS Kit	Ambra Storage KS Kit /CO000RET.98O01+CO000RET.00NO3+CO136LET.11NE01/ ( PLATINUM, ONDA, AMBRA) Black floor panels	377	659.75	0	76	80	2	55																							0	3	Wooden Frame	80	76	2	40	Floor Panels	80	38	1	6	Mechanism	5	20	2	10																																																													i26944	p7784			
	2119 Sectional Light Grey SET	Modern design leather sectional with exchangeable configuration. You can make left or right side longer just by removing armless chair and inserting it to the other side or you can use it as an accent piece. Contemporary living room corner will add new look to any space.   5 adjustable headrests  Seat depth: 23" (59cm) Seat height: 17.3" (44cm) Arm height: 23.62" (60cm) from floor to top of arm Type of  seat: High density foam, with density 35kg/m³  Stock Color: Light grey #982 Material : Top-grain Leather/Eco Leather on the Back   	1710	2992.5							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sectionals	Living Room,Sectionals,Style,Modern,Texture,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional-Light-Grey.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_10.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_2119-Sectional_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Sectionals_2119-Sectional_side_1.jpg																																																																																		p8177		Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A
2119SECTIONAL	2119 Sectional (Left or Right)	HL	1710	2992.5	1	102/126	41	37	300																							1	4	2119 2 SEATER L ARM	42	62	38	100	2119 CHAIR	42	24	38	50	2119 CORNER	42	42	38	50	2119 2 SEATER R ARM	42	62	38	100																																																								i17280	p8177			
2119 Ottoman	2119 Ottoman 50cm	<b>**AVAILABLE FOR SPECIAL ORDER**</b>	150	262.5	0	19.7	25.6	17.3																								0	1	ottoman	26	20	19	30																																																																							i18015	p8177			
2119 Ottoman	2119 Ottoman 65cm	<b>**AVAILABLE FOR SPECIAL ORDER**</b>	180	315	0	25.6	25.6	17.3																								0	1	Box 1	29	29	21	0																																																																							i18016	p8177			
2119CHAIR	2119 CHAIR GRAY	Extra armless chair	320	560	0	24	42	38	50																							0	1		44	26	40	54																																																																							i26736	p8177			
	Emporio Bedroom SET	Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror.   <b>Headboard material</b> Victoria Warp white 78% PVC, 20 % PES and 2% PU. Rubtest 25000 cycles and not FR.   Nightstand,Dresser,Chest Finish: White 120 MATT carcas / Fronts 220 High Gloss/ Handle SERIK II  Mirror: 220 High Gloss White  Contemporary furniture is a nice way to add fresh look to your home .	2155	3771.25							Franco Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Emporio-Bedroom.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Emporio-Bedroom_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Emporio-Bedroom_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Emporio-Bedroom_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Emporio-Bedroom_side_4.gif																																																																																							p9879		White, Grey/Silver, Light Beige	Wood veneer, Stainless Steel, MDF	High Gloss Lacquer, Mat
EMPORIOBEDQS	Emporio Bed QS	**FRAME NOT INCLUDED**	1320	2310	1	115.35	83.86	59.06	309																							1	5	1	8	59	61	0	2	16	63	10	0	3	16	81	10	0	4	4	51	16	0	5	4	8	6	0																																																			i22275	p9879			
EMPORIOBEDKS	Emporio Bed KS	**FRAME NOT INCLUDED**	1430	2502.5	0	131.5	83.86	59.06	352																							0	4	1	8	67	61	0	2	16	81	10	0	3	4	51	16	0	4	4	8	6	0																																																								i22276	p9879			
EMPORIONS	Emprio Nightstand ( high ns)		385	673.75	2	23.62	15.75	25.2	55																							2	1	1	18	26	27	0																																																																							i22277	p9879			
CARMENSDRESSERWHITE	Carmen Single Dresser		644	1127	0	47.24	15.75	40.94	177																							0	1	1	18	49	43	0																																																																							i22278	p9879			
CARMENSMIRRORWHITE	Carmen Mirror for Single Dresser		203	355.25	0	39.37	3.94	39.37	48																							0	1	Mirror Box	6	41	41	0																																																																							i22279	p9879			
CARMENDRESSERWHITE	Carmen Double Dresser		686	1200.5	0	62.99	15.75	35.43	220																							0	1	1	18	65	37	0																																																																							i22280	p9879			
CARMENMIRRORWHITE	Carmen Mirror for Double Dresser		386	675.5	0	62.99	3.94	39.37	64																							0	1	Mirror Box	6	65	41	0																																																																							i22281	p9879			
CARMENCHESTWHITE	Carmen Chest		645	1128.75	0	23.62	15.75	48.82	114																							0	1	1	18	26	51	0																																																																							i22282	p9879			
ENZOSTORAGEKITQS	Storage Kit QS		570	997.5	0	66.54	83.86	11	220																							0	4		6	82	15	0		6	62	15	0		3	62	79	0		3	62	79	0																																																								i22283	p9879			
ENZOSTORAGEKITKS	Storage Kit KS		750	1312.5	0	82.68	83.86	11	265																							0	4		6	82	15	0		6	78	15	0		3	78	79	0		3	43	79	0																																																								i22284	p9879			
WFRAMEQUEENS	Wooden Slats Frame QS		65	113.75	1	60	79	11	20																							1	1	1	2	30	80	0																																																																							i22285	p9879			
WFRAMEKINGS	Wooden Slats Frame King Size		90	157.5	0	76	79	11	30																							0	1	1	2	39	80	0																																																																							i22286	p9879			
	Treviso Bedroom SET	The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.  *Soft Closing Drawers *Color: White - Grey Stone	1375	2406.25							Status Italy	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_15.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_16.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_17.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_18.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_13.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_14.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_12.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_11.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_9.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_10.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_8.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom_side_6.gif																																																																														p10169		White, Grey/Silver	Wood-based panel	Mat, Shiny
	3/D Wardrobe	ERTRBWHAR03 Special Order	895	1566.25	0				417																							0	0																																																																												i23787	p10169			
	Bed 180 x 213 California	ERTRBWHLT05 Special Order	554	969.5	0	83	85	51	177																							0	3	Headboard	29	81	4	115	Rails + Footboard	12	82	3	50	Crossbars	7	73	3	22																																																													i23785	p10169			
TREVISODDRESSER	Treviso Double Dresser		470	822.5	1	59	19	32	176																							1	1		22	62	35	186																																																																							i23773	p10169			
TREVISOBEDKS	Treviso Bed KS	need Wooden Slat Frame	480	840	0	85	83	50	143																							0	3	Crossbars	7	79	3	24	Headboard	4	88	29	122	Rails + Footboard	12	82	3	51																																																													i23771	p10169			
WFRAMEKINGS	Wooden Slats Frame KS		90	157.5	0	76	79	11	25																							0	1		79	38	7	26																																																																							i23777	p10169			
TREVISOMIRROR	Treviso Mirror		90	157.5	1	37.5	0.78	40	42																							1	1		3	40	43	49																																																																							i23774	p10169			
TREVISOBEDQS	Treviso Bed QS	need Wooden Slat Frame	420	735	1	72	83	50	160																							1	3	Headbord	3	74	29	103	Rails + Footboard	12	82	3	49	Crossbars	7	62	3	18																																																													i23770	p10169			
	2/D Wardrobe	ERTRBWHAR02 Special Order	711	1244.25	0				278																							0	0																																																																												i23786	p10169			
	Floating Bedside Table	ERTRBWHCD02 Special Order	126	220.5	0				30																							0	0																																																																												i23784	p10169			
TREVISOCHEST	Treviso Chest		350	612.5	0	25	16	52	84																							0	1		19	28	55	94																																																																							i23775	p10169			
WFRAMEQUEENS	Wooden Slats Frame QS		65	113.75	1	60	79	11	20																							1	1		80	61	11	21																																																																							i23776	p10169			
TREVISONS	Treviso Night Stand		165	288.75	2	25	16	22	49																							2	1		20	28	25	59																																																																							i23772	p10169			
	4/D Wardrobe	ERTRBWHAR04 Special Order	1077	1884.75	0				503																							0	0																																																																												i23788	p10169			
	5/D Wardrobe	ERTRBWHAR05 Special Order	1296	2268	0				642																							0	0																																																																												i23789	p10169			
	6/D Wardrobe	ERTRBWHAR06 Special Order	1478	2586.5	0				719																							0	0																																																																												i23790	p10169			
